Category: All categories

Week,divvy: (Chicago IL)
2019-01-06,31
2019-01-13,21
2019-01-20,4
2019-01-27,12
2019-02-03,24
2019-02-10,4
2019-02-17,12
2019-02-24,12
2019-03-03,8
2019-03-10,32
2019-03-17,16
2019-03-24,38
2019-03-31,29
2019-04-07,32
2019-04-14,25
2019-04-21,73
2019-04-28,31
2019-05-05,36
2019-05-12,48
2019-05-19,48
2019-05-26,45
2019-06-02,77
2019-06-09,57
2019-06-16,37
2019-06-23,38
2019-06-30,91
2019-07-07,100
2019-07-14,84
2019-07-21,77
2019-07-28,86
2019-08-04,75
2019-08-11,64
2019-08-18,52
2019-08-25,40
2019-09-01,66
2019-09-08,38
2019-09-15,52
2019-09-22,34
2019-09-29,27
2019-10-06,27
2019-10-13,35
2019-10-20,15
2019-10-27,25
2019-11-03,33
2019-11-10,21
2019-11-17,8
2019-11-24,25
2019-12-01,11
2019-12-08,8
2019-12-15,15
2019-12-22,14
2019-12-29,8
